Station,Year,Month,Day,Night,DayLimit,NightLimit
KOL01,2017,7,81,81,75,70
KOL01,2017,8,79,78,75,70
KOL01,2017,9,74,74,75,70
KOL01,2017,10,86,81,75,70
KOL01,2017,11,74,74,75,70
KOL01,2017,12,72,72,75,70
KOL02,2017,1,62,56,65,55
KOL02,2017,2,62,58,65,55
KOL02,2017,3,62,58,65,55
KOL02,2017,4,63,57,65,55
KOL02,2017,5,63,56,65,55
KOL02,2017,6,63,57,65,55
KOL02,2017,7,64,57,65,55
KOL02,2017,8,63,56,65,55
KOL02,2017,9,63,57,65,55
KOL02,2017,10,63,57,65,55
KOL02,2017,11,62,56,65,55
KOL02,2017,12,62,56,65,55
KOL03,2017,1,64,57,55,45
KOL03,2017,2,64,58,55,45
KOL03,2017,3,66,61,55,45
KOL03,2017,4,68,64,55,45
KOL03,2017,5,66,61,55,45
KOL03,2017,6,66,62,55,45
KOL03,2017,7,65,59,55,45
KOL03,2017,8,67,58,55,45
KOL03,2017,9,68,59,55,45
KOL03,2017,10,73,59,55,45
KOL03,2017,11,66,57,55,45
KOL03,2017,12,66,56,55,45
KOL04,2017,1,71,71,50,40
KOL04,2017,2,71,70,50,40
KOL04,2017,3,70,70,50,40
KOL04,2017,4,70,69,50,40
KOL04,2017,5,71,70,50,40
KOL04,2017,6,69,68,50,40
KOL04,2017,7,70,71,50,40
KOL04,2017,8,72,72,50,40
KOL04,2017,9,64,65,50,40
KOL04,2017,10,76,75,50,40
KOL04,2017,11,82,82,50,40
KOL04,2017,12,71,71,50,40
KOL05,2017,1,71,72,65,55
KOL05,2017,2,63,65,65,55
KOL05,2017,3,59,55,65,55
KOL05,2017,4,62,62,65,55
KOL05,2017,5,63,63,65,55
KOL05,2017,6,64,64,65,55
KOL05,2017,7,67,66,65,55
KOL05,2017,8,71,69,65,55
KOL05,2017,9,71,70,65,55
KOL05,2017,10,66,64,65,55
KOL05,2017,11,68,67,65,55
KOL05,2017,12,71,70,65,55
KOL06,2017,1,62,52,55,45
KOL06,2017,2,62,58,55,45
KOL06,2017,3,62,58,55,45
KOL06,2017,4,67,64,55,45
KOL06,2017,5,66,59,55,45
KOL06,2017,6,64,61,55,45
KOL06,2017,7,61,57,55,45
KOL06,2017,8,61,54,55,45
KOL06,2017,9,68,57,55,45
KOL06,2017,10,65,58,55,45
KOL06,2017,11,68,55,55,45
KOL06,2017,12,61,51,55,45
KOL07,2017,1,64,60,50,40
KOL07,2017,2,64,61,50,40
KOL07,2017,3,64,61,50,40
KOL07,2017,4,66,63,50,40
KOL07,2017,5,64,61,50,40
KOL07,2017,6,65,61,50,40
KOL07,2017,7,64,62,50,40
KOL07,2017,8,64,59,50,40
KOL07,2017,9,63,59,50,40
KOL07,2017,10,65,61,50,40
KOL07,2017,11,64,58,50,40
KOL07,2017,12,63,57,50,40
KOL08,2017,1,67,63,65,55
KOL08,2017,2,67,63,65,55
KOL08,2017,3,67,64,65,55
KOL08,2017,4,68,64,65,55
KOL08,2017,5,67,63,65,55
KOL08,2017,6,67,63,65,55
KOL08,2017,7,67,62,65,55
KOL08,2017,8,67,62,65,55
KOL08,2017,9,66,63,65,55
KOL08,2017,10,67,63,65,55
KOL08,2017,11,67,63,65,55
KOL08,2017,12,67,63,65,55
KOL09,2017,1,76,68,55,45
KOL09,2017,2,74,68,55,45
KOL09,2017,3,74,68,55,45
KOL09,2017,4,74,68,55,45
KOL09,2017,5,74,68,55,45
KOL09,2017,6,74,68,55,45
KOL09,2017,7,75,68,55,45
KOL09,2017,8,76,68,55,45
KOL09,2017,9,76,71,55,45
KOL09,2017,10,76,70,55,45
KOL09,2017,11,75,68,55,45
KOL09,2017,12,75,68,55,45
KOL10,2017,1,64,61,75,70
KOL10,2017,2,64,62,75,70
KOL10,2017,3,65,62,75,70
KOL10,2017,4,68,64,75,70
KOL10,2017,5,67,63,75,70
KOL10,2017,6,67,63,75,70
KOL10,2017,7,65,61,75,70
KOL10,2017,8,64,61,75,70
KOL10,2017,9,64,60,75,70
KOL10,2017,10,65,61,75,70
KOL10,2017,11,63,60,75,70
KOL10,2017,12,63,60,75,70
LUC01,2017,1,67,60,75,70
LUC01,2017,2,68,62,75,70
LUC01,2017,3,67,60,75,70
LUC01,2017,4,68,60,75,70
LUC01,2017,5,67,62,75,70
LUC01,2017,6,69,68,75,70
LUC01,2017,7,68,61,75,70
LUC01,2017,8,67,60,75,70
LUC01,2017,9,67,60,75,70
LUC01,2017,10,64,58,75,70
LUC01,2017,11,63,58,75,70
LUC01,2017,12,63,58,75,70
LUC02,2017,1,75,70,65,55
LUC02,2017,2,76,71,65,55
LUC02,2017,3,75,71,65,55
LUC02,2017,4,73,69,65,55
LUC02,2017,5,73,69,65,55
